iter	Passed	Remaining
0	153	153671
1	159	79797
2	165	55039
3	172	42829
4	177	35372
5	183	30416
6	191	27095
7	196	24401
8	203	22380
9	209	20701
10	214	19327
11	221	18223
12	227	17240
13	232	16393
14	238	15691
15	244	15048
16	251	14520
17	256	14016
18	262	13559
19	268	13175
20	274	12800
21	280	12468
22	286	12188
23	292	11905
24	298	11656
25	305	11431
26	310	11201
27	317	11020
28	324	10863
29	330	10694
30	336	10527
31	342	10363
32	348	10225
33	354	10083
34	360	9940
35	367	9827
36	372	9702
37	378	9588
38	384	9480
39	390	9368
40	396	9284
41	402	9191
42	408	9096
43	415	9023
44	421	8939
45	426	8849
46	433	8779
47	438	8701
48	444	8632
49	450	8562
50	456	8490
51	462	8432
52	468	8365
53	473	8301
54	480	8250
55	485	8189
56	491	8134
57	498	8089
58	503	8032
59	509	7984
60	515	7941
61	521	7888
62	527	7843
63	533	7796
64	538	7749
65	544	7712
66	550	7667
67	556	7624
68	563	7606
69	570	7576
70	577	7557
71	584	7528
72	591	7505
73	597	7478
74	603	7439
75	609	7411
76	615	7379
77	621	7343
78	628	7322
79	633	7289
80	639	7256
81	645	7229
82	651	7195
83	657	7171
84	663	7142
85	669	7111
86	676	7095
87	681	7064
88	686	7031
89	693	7015
90	699	6986
91	705	6967
92	712	6952
93	718	6925
94	724	6905
95	730	6878
96	735	6850
97	742	6833
98	747	6807
99	753	6783
100	759	6759
101	764	6733
102	770	6713
103	776	6690
104	782	6666
105	788	6648
106	793	6624
107	799	6601
108	805	6584
109	811	6562
110	816	6541
111	824	6534
112	829	6512
113	835	6491
114	841	6474
115	846	6454
116	852	6436
117	858	6417
118	863	6395
119	870	6380
120	875	6360
121	881	6340
122	887	6325
123	892	6306
124	898	6289
125	904	6274
126	909	6254
127	915	6235
128	921	6224
129	927	6206
130	932	6187
131	938	6173
132	944	6154
133	950	6141
134	955	6125
135	961	6108
136	970	6114
137	977	6104
138	983	6091
139	989	6076
140	994	6059
141	1000	6047
142	1006	6032
143	1012	6017
144	1018	6006
145	1023	5989
146	1029	5975
147	1036	5965
148	1041	5949
149	1047	5935
150	1053	5921
151	1058	5905
152	1064	5895
153	1070	5881
154	1076	5866
155	1082	5857
156	1090	5854
157	1098	5855
158	1105	5849
159	1113	5846
160	1121	5846
161	1129	5840
162	1136	5837
163	1142	5824
164	1148	5813
165	1154	5798
166	1159	5784
167	1166	5775
168	1171	5761
169	1177	5747
170	1183	5736
171	1188	5721
172	1194	5711
173	1200	5698
174	1205	5685
175	1212	5675
176	1217	5662
177	1223	5648
178	1229	5639
179	1235	5626
180	1241	5615
181	1247	5607
182	1253	5596
183	1260	5587
184	1265	5576
185	1271	5562
186	1276	5551
187	1282	5540
188	1288	5527
189	1294	5518
190	1299	5505
191	1305	5493
192	1311	5485
193	1317	5473
194	1323	5461
195	1329	5452
196	1334	5440
197	1340	5429
198	1347	5423
199	1353	5412
200	1359	5403
201	1364	5391
202	1370	5380
203	1376	5371
204	1381	5359
205	1387	5346
206	1393	5338
207	1399	5327
208	1404	5316
209	1410	5307
210	1416	5296
211	1422	5287
212	1428	5277
213	1434	5268
214	1441	5262
215	1446	5251
216	1452	5239
217	1458	5232
218	1464	5221
219	1469	5210
220	1476	5203
221	1481	5191
222	1486	5180
223	1492	5171
224	1498	5160
225	1504	5151
226	1509	5140
227	1514	5129
228	1520	5119
229	1525	5108
230	1531	5098
231	1537	5090
232	1543	5080
233	1548	5070
234	1555	5063
235	1561	5054
236	1566	5043
237	1572	5035
238	1578	5025
239	1583	5015
240	1589	5006
241	1595	4996
242	1600	4985
243	1606	4977
244	1611	4967
245	1617	4957
246	1623	4948
247	1628	4938
248	1634	4929
249	1640	4921
250	1645	4911
251	1652	4904
252	1657	4894
253	1663	4886
254	1670	4879
255	1676	4873
256	1683	4866
257	1689	4858
258	1696	4852
259	1701	4842
260	1706	4832
261	1713	4826
262	1718	4816
263	1724	4807
264	1730	4799
265	1735	4789
266	1741	4781
267	1747	4773
268	1753	4765
269	1760	4759
270	1766	4752
271	1772	4744
272	1778	4737
273	1784	4728
274	1790	4719
275	1795	4710
276	1801	4701
277	1807	4693
278	1812	4684
279	1818	4675
280	1824	4668
281	1830	4659
282	1835	4650
283	1841	4643
284	1847	4635
285	1853	4626
286	1859	4620
287	1865	4610
288	1870	4601
289	1877	4595
290	1882	4587
291	1888	4578
292	1894	4570
293	1899	4561
294	1905	4553
295	1911	4545
296	1916	4536
297	1922	4529
298	1928	4520
299	1933	4512
300	1939	4504
301	1945	4496
302	1951	4489
303	1957	4482
304	1963	4473
305	1969	4466
306	1975	4459
307	1980	4450
308	1986	4442
309	1992	4434
310	1997	4425
311	2003	4418
312	2009	4410
313	2014	4401
314	2020	4394
315	2026	4386
316	2032	4378
317	2038	4371
318	2043	4362
319	2049	4354
320	2055	4347
321	2060	4338
322	2066	4330
323	2072	4324
324	2077	4315
325	2083	4308
326	2089	4300
327	2095	4292
328	2101	4285
329	2106	4277
330	2112	4269
331	2118	4262
332	2123	4254
333	2129	4246
